address,phase
231 E 10 AVE,Phase 7
319 E 10 AVE,Phase 7
130 E 11 AVE,Phase 7
200 E 11 AVE,Phase 7
300 E 11 AVE,Phase 7
320 E 11 AVE,Phase 7
325 E 9 AVE,Phase 7
1001 S 1 ST,Phase 7
1019 S 1 ST,Phase 7
1034 S 1 ST,Phase 7
1107 S 1 ST,Phase 7
1109 S 1 ST,Phase 7
1114 S 1 ST,Phase 7
1120 S 1 ST,Phase 7
1124 S 1 ST,Phase 7
1127 S 1 ST,Phase 7
1001 S 2 ST,Phase 7
1006 S 2 ST,Phase 7
1009 S 2 ST,Phase 7
1012 S 2 ST,Phase 7
1118 S 2 ST,Phase 7
1122 S 2 ST,Phase 7
1124 S 2 ST,Phase 7
1125 S 2 ST,Phase 7
1030 S 3 ST,Phase 7
1006 S A ST,Phase 7
1007 S A ST,Phase 7
1010 S A ST,Phase 7
1015 S A ST,Phase 7
1021 S A ST,Phase 7
1027 S A ST,Phase 7
1030 S A ST,Phase 7
1032 S A ST,Phase 7
1033 S A ST,Phase 7
1003 S B ST,Phase 7
1011 S B ST,Phase 7
1016 S B ST,Phase 7
1020 S B ST,Phase 7
1028 S B ST,Phase 7
1000 S C ST,Phase 7
1002 S C ST,Phase 7
1023 S C ST,Phase 7
1025 S C ST,Phase 7
1032 S C ST,Phase 7
1033 S C ST,Phase 7
1001 S D ST,Phase 7
1006 S D ST,Phase 7
1008 S D ST,Phase 7
1010 S D ST,Phase 7
1016 S D ST,Phase 7
1017 S D ST,Phase 7
1019 S D ST,Phase 7
1032 S D ST,Phase 7
1033 S D ST,Phase 7
1007 S MAIN ST,Phase 7
1018 S MAIN ST,Phase 7
1020 S MAIN ST,Phase 7
1026 S MAIN ST,Phase 7
1135 S MAIN ST,Phase 7
208 W 10 AVE,Phase 7
416 W 10 AVE,Phase 7
706 W 10 AVE,Phase 7
1 COKELS CT,Phase 8
2 COKELS CT,Phase 8
3 COKELS CT,Phase 8
4 COKELS CT,Phase 8
5 COKELS CT,Phase 8
6 COKELS CT,Phase 8
7 COKELS CT,Phase 8
9 COKELS CT,Phase 8
10 COKELS CT,Phase 8
11 COKELS CT,Phase 8
12 COKELS CT,Phase 8
13 COKELS CT,Phase 8
15 COKELS CT,Phase 8
16 COKELS CT,Phase 8
17 COKELS CT,Phase 8
18 COKELS CT,Phase 8
19 COKELS CT,Phase 8
20 COKELS CT,Phase 8
21 COKELS CT,Phase 8
22 COKELS CT,Phase 8
23 COKELS CT,Phase 8
24 COKELS CT,Phase 8
26 COKELS CT,Phase 8
27 COKELS CT,Phase 8
31 COKELS CT,Phase 8
612 S F ST,Phase 8
614 S F ST,Phase 8
620 S F ST,Phase 8
630 S F ST,Phase 8
405 S H ST,Phase 8
507 S SUNNY LN,Phase 8
605 S SUNNY LN,Phase 8
725 W 3 AVE,Phase 8
801 W 3 AVE,Phase 8
809 W 3 AVE,Phase 8
813 W 3 AVE,Phase 8
911 W 3 AVE,Phase 8
915 W 3 AVE,Phase 8
921 W 3 AVE,Phase 8
1003 W 3 AVE,Phase 8
714 W 4 AVE,Phase 8
824 W 4 AVE,Phase 8
907 W 4 AVE,Phase 8
910 W 4 AVE,Phase 8
918 W 4 AVE,Phase 8
922 W 4 AVE,Phase 8
923 W 4 AVE,Phase 8
1003 W 4 AVE,Phase 8
1015 W 4 AVE,Phase 8
702 W 6 AVE,Phase 8
706 W 6 AVE,Phase 8
709 W 6 AVE,Phase 8
717 W 6 AVE,Phase 8
807 W 6 AVE,Phase 8
819 W 6 AVE,Phase 8
906 W 6 AVE,Phase 8
907 W 6 AVE,Phase 8
917 W 6 AVE,Phase 8
1000 W 6 AVE,Phase 8
1004 W 6 AVE,Phase 8
1005 W 6 AVE,Phase 8
1020 W 6 AVE,Phase 8
1021 W 6 AVE,Phase 8
1113 E 2 AVE,Phase 9
1117 E 2 AVE,Phase 9
1121 E 2 AVE,Phase 9
1301 E 2 AVE,Phase 9
1303 E 2 AVE,Phase 9
1308 E 2 AVE,Phase 9
1313 E 2 AVE,Phase 9
1401 E 2 AVE,Phase 9
1402 E 2 AVE,Phase 9
1405 E 2 AVE,Phase 9
1406 E 2 AVE,Phase 9
1407 E 2 AVE,Phase 9
1409 E 2 AVE,Phase 9
1410 E 2 AVE,Phase 9
1305 E 2 CT,Phase 9
1307 E 2 CT,Phase 9
1311 E 2 CT,Phase 9
1105 E 3 AVE,Phase 9
1112 E 3 AVE,Phase 9
1115 E 3 AVE,Phase 9
1302 E 3 AVE,Phase 9
1128 E 5 AVE,Phase 9
1217 E BROADWAY,Phase 9
1321 E BROADWAY,Phase 9
1331 E BROADWAY,Phase 9
1339 E BROADWAY,Phase 9
1343 E BROADWAY,Phase 9
1357 E BROADWAY,Phase 9
1361 E BROADWAY,Phase 9
1501 E BROADWAY,Phase 9
1124 GARDEN LN,Phase 9
321 S 10 ST,Phase 9
325 S 10 ST,Phase 9
329 S 10 ST,Phase 9
335 S 10 ST,Phase 9
415 S 10 ST,Phase 9
207 S 11 ST,Phase 9
211 S 11 ST,Phase 9
302 S 11 ST,Phase 9
310 S 11 ST,Phase 9
318 S 11 ST,Phase 9
405 S 11 ST,Phase 9
406 S 11 ST,Phase 9
409 S 11 ST,Phase 9
410 S 11 ST,Phase 9
411 S 11 ST,Phase 9
418 S 11 ST,Phase 9
508 S 11 ST,Phase 9
510 S 11 ST,Phase 9
110 S 12 ST,Phase 9
208 N D ST,Phase 10
214 N D ST,Phase 10
216 N D ST,Phase 10
116 N E ST,Phase 10
124 N E ST,Phase 10
200 N E ST,Phase 10
201 N E ST,Phase 10
210 N E ST,Phase 10
215 N E ST,Phase 10
217 N E ST,Phase 10
118 N F ST,Phase 10
120 N F ST,Phase 10
215 N F ST,Phase 10
202 N G ST,Phase 10
218 N G ST,Phase 10
224 N G ST,Phase 10
308 N G ST,Phase 10
328 N G ST,Phase 10
1001 N G ST,Phase 10
309 N H ST,Phase 10
711 W ARCHER AVE,Phase 10
714 W ARCHER AVE,Phase 10
717 W ARCHER AVE,Phase 10
809 W ARCHER AVE,Phase 10
810 W ARCHER AVE,Phase 10
821 W ARCHER AVE,Phase 10
824 W ARCHER AVE,Phase 10
515 W BOSTON AVE,Phase 10
521 W BOSTON AVE,Phase 10
613 W BOSTON AVE,Phase 10
703 W BOSTON AVE,Phase 10
715 W BOSTON AVE,Phase 10
719 W BOSTON AVE,Phase 10
802 W BOSTON AVE,Phase 10
809 W BOSTON AVE,Phase 10
819 W BOSTON AVE,Phase 10
820 W BOSTON AVE,Phase 10
600 W BROADWAY,Phase 10
601 W BROADWAY,Phase 10
608 W BROADWAY,Phase 10
702 W BROADWAY,Phase 10
708 W BROADWAY,Phase 10
716 W BROADWAY,Phase 10
806 W BROADWAY,Phase 10
812 W BROADWAY,Phase 10
822 W BROADWAY,Phase 10
1007 E BOSTON AVE,Phase 11
1011 E BOSTON AVE,Phase 11
608 E BROADWAY,Phase 11
620 E BROADWAY,Phase 11
1033 E CLINTON AVE,Phase 11
611 E EUCLID AVE,Phase 11
115 N 5 ST,Phase 11
117 N 5 ST,Phase 11
301 N 5 ST,Phase 11
321 N 5 ST,Phase 11
325 N 5 ST,Phase 11
429 N 5 ST,Phase 11
503 N 5 ST,Phase 11
507 N 5 ST,Phase 11
324 N 6 ST,Phase 11
326 N 6 ST,Phase 11
416 N 6 ST,Phase 11
420 N 6 ST,Phase 11
424 N 6 ST,Phase 11
502 N 6 ST,Phase 11
526 N 6 ST,Phase 11
327 N 9 ST,Phase 11
403 N 9 ST,Phase 11
413 N 9 ST,Phase 11
415 N 9 ST,Phase 11
115 E BOSTON AVE,Phase 12
116 E BOSTON AVE,Phase 12
117 E BOSTON AVE,Phase 12
315 N A ST,Phase 12
321 N A ST,Phase 12
401 N A ST,Phase 12
415 N A ST,Phase 12
423 N A ST,Phase 12
502 N A ST,Phase 12
503 N A ST,Phase 12
509 N A ST,Phase 12
515 N A ST,Phase 12
519 N A ST,Phase 12
520 N A ST,Phase 12
523 N A ST,Phase 12
519 N B ST,Phase 12
107 N MAIN ST,Phase 12
206 N MAIN ST,Phase 12
207 N MAIN ST,Phase 12
211 N MAIN ST,Phase 12
221 N MAIN ST,Phase 12
311 N MAIN ST,Phase 12
316 N MAIN ST,Phase 12
321 N MAIN ST,Phase 12
400 N MAIN ST,Phase 12
401 N MAIN ST,Phase 12
403 N MAIN ST,Phase 12
420 N MAIN ST,Phase 12
421 N MAIN ST,Phase 12
504 N MAIN ST,Phase 12
510 N MAIN ST,Phase 12
512 N MAIN ST,Phase 12
122 W BOSTON AVE,Phase 12
116 W CLINTON AVE,Phase 12
105 W DETROIT AVE,Phase 12
218 W DETROIT AVE,Phase 12
222 W DETROIT AVE,Phase 12
217 W EUCLID AVE,Phase 12
219 W EUCLID AVE,Phase 12
221 W EUCLID AVE,Phase 12
408 N 1 ST,Phase 13
411 N 1 ST,Phase 13
412 N 1 ST,Phase 13
416 N 1 ST,Phase 13
417 N 1 ST,Phase 13
429 N 1 ST,Phase 13
314 N E ST,Phase 13
320 N E ST,Phase 13
324 N E ST,Phase 13
414 N E ST,Phase 13
428 N E ST,Phase 13
512 N E ST,Phase 13
526 N E ST,Phase 13
528 N E ST,Phase 13
300 N F ST,Phase 13
306 N F ST,Phase 13
308 N F ST,Phase 13
309 N F ST,Phase 13
314 N F ST,Phase 13
320 N F ST,Phase 13
321 N F ST,Phase 13
400 N F ST,Phase 13
403 N F ST,Phase 13
412 N F ST,Phase 13
415 N F ST,Phase 13
424 N F ST,Phase 13
429 N F ST,Phase 13
521 N F ST,Phase 13
525 N F ST,Phase 13
528 N F ST,Phase 13
307 N G ST,Phase 13
319 N G ST,Phase 13
321 N G ST,Phase 13
403 N G ST,Phase 13
409 N G ST,Phase 13
420 N G ST,Phase 13
426 N G ST,Phase 13
429 N G ST,Phase 13
500 N G ST,Phase 13
503 N G ST,Phase 13
505 N G ST,Phase 13
508 N G ST,Phase 13
510 N G ST,Phase 13
517 N G ST,Phase 13
600 N G ST,Phase 13
400 N I ST,Phase 13
404 N I ST,Phase 13
608 W BOSTON AVE,Phase 13
708 W BOSTON AVE,Phase 13
604 W CLINTON AVE,Phase 13
916 W CLINTON AVE,Phase 13
1008 W CLINTON AVE,Phase 13
600 W DETROIT AVE,Phase 13
618 W DETROIT AVE,Phase 13
620 W DETROIT AVE,Phase 13
702 W DETROIT AVE,Phase 13
708 W DETROIT AVE,Phase 13
601 N E ST,Phase 14
609 N E ST,Phase 14
611 N E ST,Phase 14
614 N E ST,Phase 14
629 N E ST,Phase 14
630 N E ST,Phase 14
701 N E ST,Phase 14
706 N E ST,Phase 14
714 N E ST,Phase 14
720 N E ST,Phase 14
730 N E ST,Phase 14
803 N E ST,Phase 14
810 N E ST,Phase 14
816 N E ST,Phase 14
823 N E ST,Phase 14
824 N E ST,Phase 14
828 N E ST,Phase 14
833 N E ST,Phase 14
615 N F ST,Phase 14
616 N F ST,Phase 14
630 N F ST,Phase 14
701 N F ST,Phase 14
728 N F ST,Phase 14
729 N F ST,Phase 14
800 N F ST,Phase 14
804 N F ST,Phase 14
806 N F ST,Phase 14
815 N F ST,Phase 14
603 N G ST,Phase 14
604 N G ST,Phase 14
606 N G ST,Phase 14
608 N G ST,Phase 14
609 N G ST,Phase 14
621 N G ST,Phase 14
623 N G ST,Phase 14
704 N G ST,Phase 14
712 N G ST,Phase 14
714 N G ST,Phase 14
716 N G ST,Phase 14
729 N G ST,Phase 14
805 N G ST,Phase 14
600 W EUCLID AVE,Phase 14
611 W FRANKLIN AVE,Phase 14
615 W GIRARD AVE,Phase 14
618 W GIRARD AVE,Phase 14
704 W GIRARD AVE,Phase 14
720 W GIRARD AVE,Phase 14
521 W HARLEM AVE,Phase 14
611 W HARLEM AVE,Phase 14
623 W HARLEM AVE,Phase 14
200 E EUCLID AVE,Phase 15
220 E EUCLID AVE,Phase 15
302 E EUCLID AVE,Phase 15
306 E EUCLID AVE,Phase 15
312 E EUCLID AVE,Phase 15
316 E EUCLID AVE,Phase 15
320 E EUCLID AVE,Phase 15
201 E FRANKLIN AVE,Phase 15
216 E FRANKLIN AVE,Phase 15
213 E GIRARD AVE,Phase 15
218 E GIRARD AVE,Phase 15
219 E GIRARD AVE,Phase 15
313 E GIRARD AVE,Phase 15
307 E HARLEM AVE,Phase 15
611 N 1 ST,Phase 15
805 N 1 ST,Phase 15
807 N 1 ST,Phase 15
809 N 1 ST,Phase 15
811 N 1 ST,Phase 15
813 N 1 ST,Phase 15
803 N 2 1/2 ST,Phase 15
805 N 2 1/2 ST,Phase 15
806 N 2 1/2 ST,Phase 15
808 N 2 1/2 ST,Phase 15
810 N 2 1/2 ST,Phase 15
615 N 2 ST,Phase 15
618 N 2 ST,Phase 15
619 N 2 ST,Phase 15
628 N 2 ST,Phase 15
709 N 2 ST,Phase 15
721 N 2 ST,Phase 15
723 N 2 ST,Phase 15
818 N 2 ST,Phase 15
819 N 2 ST,Phase 15
820 N 2 ST,Phase 15
826 N 2 ST,Phase 15
827 N 2 ST,Phase 15
830 N 2 ST,Phase 15
608 N 3 ST,Phase 15
614 N 3 ST,Phase 15
624 N 3 ST,Phase 15
632 200TH AVE,Phase 16
117 E JACKSON DR,Phase 16
3 INDUSTRIAL PK DR,Phase 16
801 N 1 ST,Phase 16
1007 N G ST,Phase 16
901 N MAIN ST,Phase 16
1000 N MAIN ST,Phase 16
1004 N MAIN ST,Phase 16
1007 N MAIN ST,Phase 16
1010 N MAIN ST,Phase 16
1021 N MAIN ST,Phase 16
1023 N MAIN ST,Phase 16
1126 N MAIN ST,Phase 16
1130 N MAIN ST,Phase 16
1422 N MAIN ST,Phase 16
904 SUNSET RD,Phase 16
920 SUNSET RD,Phase 16
923 SUNSET RD,Phase 16
924 SUNSET RD,Phase 16
944 SUNSET RD,Phase 16
650 US HWY 34 BYPASS,Phase 16
304 W HARLEM AVE,Phase 16
500 W HARLEM AVE,Phase 16
903 W HARLEM AVE,Phase 16
907 W HARLEM AVE,Phase 16
911 W HARLEM AVE,Phase 16
1005 W HARLEM AVE,Phase 16
1007 W HARLEM AVE,Phase 16
